EmpID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,EducationField,EnvironmentSatisfaction,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,AgeGroup,SalarySlab
RM650,53,No,Travel_Rarely,Research & Development,23,Life Sciences,4,Female,Research Director,4,Single,14275,20206,6,No,18,3,3,33,0,3,12,9,3,46-55,10k-15k
RM015,28,Yes,Travel_Rarely,Research & Development,24,Life Sciences,3,Male,Laboratory Technician,3,Single,2028,12947,5,Yes,14,3,2,6,4,3,4,2,0,26-35,Upto 5k
RM1111,35,Yes,Travel_Rarely,Research & Development,2,Life Sciences,1,Female,Laboratory Technician,1,Divorced,2074,26619,1,Yes,12,3,4,1,2,3,1,0,0,26-35,Upto 5k
RM1438,39,No,Non_Travel,Research & Development,9,Life Sciences,4,Male,Manager,4,Single,19431,15302,2,No,13,3,3,21,3,2,6,0,1,36-45,15k+
RM311,31,No,Travel_Rarely,Human Resources,2,Human Resources,1,Male,Human Resources,1,Married,6410,17822,3,No,12,3,4,9,1,3,2,2,1,26-35,5k-10k
RM885,40,No,Travel_Rarely,Sales,10,Technical Degree,2,Female,Sales Executive,2,Divorced,6852,11591,7,No,12,3,2,7,2,4,5,1,1,36-45,5k-10k
RM733,30,Yes,Travel_Frequently,Research & Development,5,Medical,2,Female,Laboratory Technician,2,Single,2422,25725,0,No,17,3,1,4,3,3,3,2,1,26-35,Upto 5k
RM083,55,No,Travel_Rarely,Sales,1,Life Sciences,1,Male,Sales Executive,4,Married,10239,18092,3,No,14,3,4,24,4,3,1,0,1,46-55,10k-15k
RM863,44,No,Non_Travel,Research & Development,17,Life Sciences,4,Male,Research Scientist,3,Single,2290,4279,2,No,13,3,4,6,3,3,0,0,0,36-45,Upto 5k
RM174,30,No,Non_Travel,Research & Development,9,Medical,3,Male,Laboratory Technician,1,Divorced,3072,11012,1,No,11,3,3,12,4,3,12,9,6,26-35,Upto 5k
RM1058,29,Yes,Travel_Frequently,Sales,13,Technical Degree,1,Female,Sales Executive,2,Single,5765,17485,5,No,11,3,1,7,4,1,5,3,0,26-35,5k-10k
RM1430,39,No,Travel_Rarely,Research & Development,24,Life Sciences,1,Male,Research Scientist,4,Single,4108,5340,7,No,13,3,1,18,2,3,7,7,1,36-45,Upto 5k
RM881,32,No,Travel_Frequently,Research & Development,13,Other,3,Female,Laboratory Technician,2,Married,2743,7331,1,No,20,4,3,2,2,3,2,2,2,26-35,Upto 5k
RM1352,48,No,Travel_Frequently,Research & Development,22,Medical,4,Female,Manager,4,Married,17174,2437,3,No,11,3,2,24,3,3,22,17,4,46-55,15k+
